NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-02;2020-11-08;Si;;;2841.0884;1420.5442;900;16604.5836;8445;2075;10.4716;112;5;151
CATALUNYA;CATALUNYA;2020-11-02;2020-11-08;No;594.686;0.867578;685.4556;301.7109;23042;3113.2980;175816;61950;10.6273;1528;293;319
CATALUNYA;CATALUNYA;2020-11-02;2020-11-08;--;;;0.0000;0.0000;533;0.0000;3827;177;7.0064;67;14;0
CATALUNYA;CATALUNYA;2020-11-01;2020-11-07;No;619.898;0.886494;699.2697;310.1696;23688;3157.9615;179829;61348;10.7125;1566;294;321
CATALUNYA;CATALUNYA;2020-11-01;2020-11-07;--;;;0.0000;0.0000;547;0.0000;3846;166;7.0666;71;14;0
CATALUNYA;CATALUNYA;2020-11-01;2020-11-07;Si;;;2883.7047;1474.2092;934;16793.9895;8552;2088;10.6121;119;5;143
CATALUNYA;CATALUNYA;2020-10-31;2020-11-06;No;648.647;0.910991;712.0232;320.8150;24501;3225.7751;185534;60822;10.8361;1629;278;321
CATALUNYA;CATALUNYA;2020-10-31;2020-11-06;--;;;0.0000;0.0000;560;0.0000;3986;164;6.9625;74;13;0
CATALUNYA;CATALUNYA;2020-10-31;2020-11-06;Si;;;2867.9209;1455.2686;922;17591.0726;8992;2153;9.9463;117;6;155
CATALUNYA;CATALUNYA;2020-10-30;2020-11-05;--;;;0.0000;0.0000;589;0.0000;4207;158;7.0714;79;16;0
CATALUNYA;CATALUNYA;2020-10-30;2020-11-05;Si;;;3017.8672;1543.6580;978;18754.3405;9662;2220;9.5120;128;6;156
CATALUNYA;CATALUNYA;2020-10-30;2020-11-05;No;689.943;0.934416;738.3683;337.2348;25755;3307.4291;194402;58190;11.0264;1689;295;332
CATALUNYA;CATALUNYA;2020-10-29;2020-11-04;--;;;0.0000;0.0000;612;0.0000;4170;149;7.4266;85;22;0
CATALUNYA;CATALUNYA;2020-10-29;2020-11-04;Si;;;3159.9217;1423.7009;902;18089.8415;9291;2170;9.0422;129;9;138
CATALUNYA;CATALUNYA;2020-10-29;2020-11-04;No;719.526;0.942443;763.4694;348.2861;26599;3383.7668;203726;54696;11.0879;1783;347;311
CATALUNYA;CATALUNYA;2020-10-28;2020-11-03;Si;;;3368.2681;1412.6523;895;17377.9910;8909;2101;9.1520;119;9;136
CATALUNYA;CATALUNYA;2020-10-28;2020-11-03;No;743.344;0.945836;785.9124;364.0120;27800;3427.0162;210994;50731;11.2957;1799;338;290
CATALUNYA;CATALUNYA;2020-10-28;2020-11-03;--;;;0.0000;0.0000;672;0.0000;4130;139;8.1652;93;21;0
CATALUNYA;CATALUNYA;2020-10-27;2020-11-02;Si;;;3428.2467;1406.3387;891;18545.9940;10018;1732;8.6943;115;10;120
CATALUNYA;CATALUNYA;2020-10-27;2020-11-02;No;757.745;0.952464;795.5627;374.8931;28631;3441.8386;217706;45151;11.5166;1848;357;275
CATALUNYA;CATALUNYA;2020-10-27;2020-11-02;--;;;0.0000;0.0000;672;0.0000;4225;122;8.1509;94;19;0
CATALUNYA;CATALUNYA;2020-10-26;2020-11-01;No;766.629;0.965092;794.3580;383.7446;29307;3449.4200;223762;39674;11.6352;1849;355;269
CATALUNYA;CATALUNYA;2020-10-26;2020-11-01;--;;;0.0000;0.0000;700;0.0000;4307;92;8.4598;99;13;0
CATALUNYA;CATALUNYA;2020-10-26;2020-11-01;Si;;;3421.9332;1420.5442;900;18244.5230;10258;1301;9.2156;120;10;113
CATALUNYA;CATALUNYA;2020-10-25;2020-10-31;No;787.059;0.988709;796.0471;389.1000;29716;3461.3616;225077;39271;11.7893;1882;355;254
CATALUNYA;CATALUNYA;2020-10-25;2020-10-31;--;;;0.0000;0.0000;691;0.0000;4292;91;8.4930;107;16;0
